客戶,基金,基金簡稱,風險等級,金額,總金額,weight
260131,37,野村全球生技醫療基金,RR4,3000,78000,0.038461538461538464
260131,44,野村全球氣候變遷基金,RR4,3000,78000,0.038461538461538464
260131,45,野村新興傘型之中東非洲基金,RR5,3000,78000,0.038461538461538464
260131,46,野村新興傘型之大俄羅斯基金,RR5,3000,78000,0.038461538461538464
260131,48,野村中國機會基金,RR5,6000,78000,0.07692307692307693
260131,51,野村巴西證券投資信託基金,RR5,6000,78000,0.07692307692307693
260131,54,野村雙印傘型之印度潛力基金,RR5,6000,78000,0.07692307692307693
260131,55,野村雙印傘型之印尼潛力基金,RR5,6000,78000,0.07692307692307693
260131,56,野村亞太複合高收益債基金-累積型新臺幣計價,RR4,3000,78000,0.038461538461538464
260131,67,野村歐洲中小成長基金-累積類型新臺幣計價,RR4,6000,78000,0.07692307692307693
260131,93,野村日本領先基金-累積類型,RR4,6000,78000,0.07692307692307693
260131,95,野村多元收益平衡基金-累積類型新臺幣計價,RR3,6000,78000,0.07692307692307693
13192,1,野村優質基金-累積類型新臺幣計價,RR4,3000,9000,0.3333333333333333
13192,7,野村中小基金-累積類型,RR5,6000,9000,0.6666666666666666
13290,1,野村優質基金-累積類型新臺幣計價,RR4,10000,20000,0.5
13290,7,野村中小基金-累積類型,RR5,10000,20000,0.5
13347,1,野村優質基金-累積類型新臺幣計價,RR4,9000,23000,0.391304347826087
13347,5,野村 e科技基金,RR5,4000,23000,0.17391304347826086
13347,7,野村中小基金-累積類型,RR5,10000,23000,0.43478260869565216
13347,28,野村高科技基金,RR5,0,23000,0.0
134380,7,野村中小基金-累積類型,RR5,3000,12000,0.25
134380,17,野村亞太高股息基金-累積型新臺幣計價,RR5,3000,12000,0.25
134380,36,野村台灣高股息基金,RR4,3000,12000,0.25
134380,46,野村新興傘型之大俄羅斯基金,RR5,3000,12000,0.25
134799,93,野村日本領先基金-累積類型,RR4,6000,6000,1.0
135485,5,野村 e科技基金,RR5,3000,2948661,0.0010174109536498091
135485,7,野村中小基金-累積類型,RR5,3000,2948661,0.0010174109536498091
135485,8,野村全球品牌基金,RR4,3000,2948661,0.0010174109536498091
135485,9,野村全球高股息基金-累積型新臺幣計價,RR4,3000,2948661,0.0010174109536498091
