Date,AGG,BND,BSV,BNDX,MINT,BIV,NEAR,SCHZ,FTSM,SPAB,BLV,TOTL,IUSB,GVI,ISTB,BOND,IAGG,FBND,VBND,AGGY,RAVI,ILTB,LDUR,FTSD,ULST,FLTB,XMPT,FIBR,MINC,AGZD,NFLT,HOLD,FCOR,BYLD,KCNY,WYDE,SAGG,AGND
2015-12-30,99.34536700000001,74.03054,75.365646,49.0854,95.003563,75.97739399999999,47.55011,47.479706,56.90905,26.094627,76.637024,43.891182,45.399231,102.88763399999999,46.028194,94.366035,46.838024,43.948433,45.165447,44.43803,71.500069,51.400707000000004,91.92439300000001,91.44426,38.045639,46.730671,23.170113,,44.449177,44.581268,21.1019,94.464401,42.777603000000006,21.496824,32.227638,38.25,32.416576,41.170654
2015-12-31,99.61281600000001,74.177483,75.41304000000001,49.169086,94.984634,76.096497,47.569115000000004,47.599861,56.918564,26.145035,76.956161,43.891182,45.298733,103.019234,46.144405,94.529335,46.903488,44.049374,45.220698999999996,44.43803,71.55725100000001,51.524117,92.26693,91.44426,38.045639,46.777725,23.221982999999998,96.6900,44.412453,44.739388,21.076359,94.464401,42.999287,21.523729,32.12923,38.09,32.416576,41.189316
2016-01-04,99.575951,74.140762,75.441475,49.271347,95.079063,76.243126,47.483523999999996,47.636833,56.94710500000001,26.167957,77.195518,43.954399,45.371811,103.169601,46.125824,94.384178,46.987694,43.959431,45.248329,44.43803,71.395256,51.823822,92.32247199999999,91.44426,38.102856,46.787144,23.152821,96.6700,44.403278,44.655678,21.050826999999998,94.464401,43.111046,21.487864000000002,31.970274,38.713001,32.26918,41.096061999999996
2016-01-05,99.622025,74.232628,75.43199200000001,49.243462,95.079063,76.33473199999999,47.55011,47.646095,56.94710500000001,26.177118,77.177803,43.981499,45.303303,103.216606,46.167648,94.556511,47.062523,43.911709,45.248329,44.43803,71.528687,51.665165,92.146561,91.44426,38.112396000000004,46.730671,23.360317000000002,96.7900,44.421631,44.730087,21.09339,94.464401,42.874809,21.523729,31.985418,38.300999,32.308487,41.096061999999996
2016-01-06,100.000175,74.563278,75.51728100000001,49.429435999999995,95.088493,76.646225,47.569115000000004,47.784729,56.94710500000001,26.296267999999998,77.79833199999999,44.044724,45.527103000000004,103.46096800000001,46.181599,94.819565,47.058784,44.003487,45.439854,44.642086,71.60494200000001,52.211678000000006,91.97995,91.44426,38.102856,46.655361,23.420834,96.9600,44.485901,44.692879,21.042313,94.464401,42.965678999999994,21.630402,31.764002,38.5,32.229874,40.9655
2016-01-07,99.990959,74.572456,75.631004,49.355045000000004,95.079063,76.74695600000001,47.569115000000004,47.784729,56.975643000000005,26.277936999999998,77.93130500000001,44.071819,45.481415000000005,103.601974,46.20483,94.610954,47.081234,43.957603000000006,45.478531,44.642086,71.547722,52.220504999999996,92.220642,91.44426,38.064709,46.805973,23.464064,96.9300,44.476723,44.497551,21.008260999999997,94.464401,42.974765999999995,21.568542,31.508532000000002,38.5,32.229874,40.9282
2016-01-08,100.212311,74.664299,75.716316,49.345749,95.069649,76.94854699999999,47.578621000000005,47.923347,56.966125,26.3146,78.170662,44.098907000000004,45.559078,103.771118,46.269913,94.719765,47.063461,44.113609000000004,45.561405,44.642086,71.471512,52.361542,92.331749,91.44426,38.055176,46.768311,23.481348,97.0700,44.504265000000004,44.562675,21.02529,94.464401,43.0965,21.588264000000002,31.319290000000002,39.040001000000004,32.121784000000005,40.82563
2016-01-11,99.926399,74.352005,75.706825,49.289963,95.09796899999999,76.76531999999999,47.569115000000004,47.812435,56.966125,26.268772,77.585548,44.053745,45.367252,103.50795,46.293156,94.565605,47.061584,43.957603000000006,45.533783,44.67292,71.46195999999999,51.947243,92.081787,91.44426,38.055176,46.834221,23.343021,97.0100,44.614449,44.348728,21.067852,94.464401,42.965678999999994,21.59185,31.527458000000003,38.709998999999996,32.180744,40.890915
2016-01-12,100.147728,74.544891,75.716316,49.355045000000004,95.079063,76.875259,47.569115000000004,47.877151,56.956627000000005,26.3146,78.11747,44.144062,45.481415000000005,103.686539,46.232715999999996,94.529335,47.11866,43.930073,45.671898,44.67292,71.55725100000001,52.326285999999996,92.054008,91.44426,38.055176,46.768311,23.368956,97.0900,44.467545,44.432457,21.050826999999998,94.464401,42.965678999999994,21.568542,31.394987,38.709998999999996,32.062832,40.751034000000004
2016-01-13,100.37829599999999,74.7286,75.801613,49.466621,95.09796899999999,77.122612,47.578621000000005,47.96032,57.0042,26.392511,78.622757,44.225342,45.545383,103.808693,46.255974,94.547455,47.154202000000005,43.905293,45.763981,44.67292,71.652527,52.467318999999996,91.693001,91.267448,38.064709,46.772095,23.291151,97.0600,44.577723999999996,44.358021,21.045717,94.464401,42.992934999999996,21.604406,31.309829999999998,38.700001,32.062832,40.592506
2016-01-14,100.341415,74.636765,75.773193,49.308552,95.069649,77.003517,47.559593,47.96032,56.976616,26.351260999999997,78.13518499999999,44.171154,45.47229,103.780525,46.218773,94.610954,47.389931,43.865829,45.725304,44.67292,71.452431,52.202873,91.94294000000001,91.267448,38.121925,46.843628,23.368956,96.8900,44.522633,44.367332,21.033794,94.464401,42.833939,21.568542,31.319290000000002,38.700001,32.053001,40.769688
